"","player_name","player_height_inches","player_weight","mp","raptor_offense","raptor_defense","raptor_total","POS","AGE","TM","G","GS","MP","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"255","Ryan Arcidiacono",75,195,76,-4.20606076880853,5.51831724570261,1.31225647689408,"PG",27,"NYK",10,0,76,2.8,5.7,0.5,1.9,4.3,0.444,0.9,0.667,0,0,NA,0,3.8,3.8,1.9,0.5,0,1.4,2.4,7.6
"256","Saben Lee",74,183,604,-1.9993414349898,0.157445520088797,-1.841895914901,"PG",22,"DET",37,0,604,4.1,10.5,0.39,0.8,3.6,0.233,3.3,0.47,3.3,4.2,0.789,1.1,4.1,5.2,6.4,2.1,0.7,2.1,2.6,12.4
"257","Sandro Mamukelashvili",81,240,407,-1.67070253121925,-7.21314415669508,-8.88384668791434,"PF",22,"MIL",41,3,407,5,10.2,0.496,1.9,4.6,0.423,3.1,0.556,1.6,1.9,0.818,3.1,4.2,7.3,1.9,0.8,0.8,1.3,2.5,13.6
"258","Santi Aldama",83,215,360,-2.88735684575059,-1.59075390014073,-4.47811074589132,"PF",21,"MEM",32,0,360,5.3,13.2,0.402,0.6,4.8,0.125,4.7,0.56,2,3.2,0.625,3.3,5.4,8.7,2.1,0.6,1,1.6,3.6,13.2
"259","Scottie Barnes",79,225,2649,0.122316759459975,0.636852347634658,0.759169107094633,"PF",20,"TOR",74,74,2617,6.3,12.8,0.492,0.8,2.7,0.301,5.5,0.543,2.2,3,0.735,2.7,5,7.7,3.5,1.1,0.8,1.9,2.6,15.6
"260","Scottie Lewis",77,185,7,3.01428451355759,-0.350370591665048,2.66391392189254,"SG",21,"CHO",2,0,7,0,0,NA,0,0,NA,0,NA,5.1,10.3,0.5,0,0,0,5.1,5.1,0,0,0,5.1
"261","Semi Ojeleye",78,240,406,-5.44593697706174,-4.93890146674024,-10.384838443802,"PF",27,"TOT",30,0,406,2.7,8.8,0.303,1.3,4.4,0.3,1.3,0.306,2,2.6,0.793,2.4,4.2,6.6,0.8,0.6,0.5,0.8,2.7,8.7
"262","Serge Ibaka",82,235,877,-3.50826470000983,-0.790521006549041,-4.29878570655887,"C-PF",32,"TOT",54,12,877,6.1,12.2,0.5,1.5,4.1,0.374,4.6,0.563,1.3,1.8,0.727,2.5,7.7,10.3,2,0.5,1.4,1.8,4.2,15
"263","Shai Gilgeous-Alexander",78,180,1942,2.74976304582981,-0.832585763914806,1.91717728191501,"PG",23,"OKC",56,56,1942,8.8,19.5,0.453,1.6,5.5,0.3,7.2,0.514,6.1,7.5,0.81,0.7,4.5,5.2,6.1,1.3,0.9,2.9,2.6,25.4
"264","Skylar Mays",76,205,225,-1.83347246010559,-2.98265804811048,-4.81613050821607,"SG",24,"ATL",28,5,220,5.2,10.5,0.5,1.3,4.1,0.32,3.9,0.615,1.3,1.5,0.889,0.8,3.3,4.1,2.8,1.1,0,1.6,1.5,13.1
"265","Stanley Johnson",78,242,1094,-0.656527453344292,0.199035485331643,-0.457491968012648,"PF",25,"LAL",48,27,1094,3.9,8.3,0.466,1.1,3.5,0.314,2.8,0.575,1.7,2.4,0.716,1.1,4,5.1,2.6,1.4,0.5,1.2,3.6,10.5
"266","Steven Adams",83,265,2023,1.63849589135118,0.353656057189623,1.9921519485408,"C",28,"MEM",76,75,1999,3.8,6.9,0.547,0,0,0,3.8,0.548,1.9,3.6,0.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5
"267","T.J. McConnell",73,190,652,-0.383645745484908,0.922251730238024,0.538605984753115,"PG",29,"IND",27,8,652,5.5,11.5,0.481,0.6,1.8,0.303,5,0.514,1,1.3,0.826,1.1,3.9,5,7.2,1.6,0.6,1.6,2.9,12.6
"268","Taj Gibson",81,232,946,-1.72386773271313,0.777356333358884,-0.94651139935425,"C",36,"NYK",52,4,946,3.3,6.3,0.518,0.6,1.4,0.395,2.7,0.555,1.6,2,0.808,3.3,5.4,8.7,1.2,0.8,1.5,1,5.2,8.7
"269","Taurean Prince",78,218,1189,-0.868090117728558,0.12158304899718,-0.746507068731378,"PF",27,"MIN",69,8,1177,5.4,11.9,0.454,2.6,7,0.376,2.8,0.565,1.9,2.5,0.756,0.8,4.5,5.3,2.1,1.4,0.7,1.6,3.5,15.4
"270","Terance Mann",77,215,2317,-0.118449270417658,0.588421309296348,0.46997203887869,"SF",25,"LAC",81,33,2317,5.2,10.7,0.484,1.2,3.2,0.365,4,0.535,2,2.5,0.78,1.6,5,6.6,3.2,0.9,0.3,1.3,2.8,13.5
"271","Terry Taylor",77,230,714,1.14401926938128,-3.08195805496661,-1.93793878558533,"SG",22,"IND",33,7,714,6.8,11.1,0.614,0.6,1.9,0.316,6.2,0.676,1.8,2.6,0.706,4.8,3.9,8.7,2.1,0.7,0.4,1.2,3.1,16
"272","Thaddeus Young",80,235,859,-0.674043561419687,0.648846490774241,-0.0251970706454458,"PF",33,"TOT",52,1,845,6,11.6,0.518,0.7,2,0.354,5.3,0.554,1,2.1,0.469,3.4,5.5,8.9,4.4,2.3,0.8,2.2,3.5,13.7
"273","Thanasis Antetokounmpo",78,219,473,-3.06080052089243,-0.668517917163844,-3.72931843805627,"SF",29,"MIL",48,6,473,5.3,9.7,0.547,0.2,1.1,0.143,5.2,0.596,2.2,3.5,0.63,3,4.6,7.7,1.7,1.2,0.9,2,5.2,13
"274","Theo Pinson",77,212,148,-2.60373062875079,0.893995131845315,-1.70973549690547,"SF",26,"DAL",19,0,148,3.4,9.5,0.359,2.4,7.3,0.333,1,0.444,2.4,2.4,1,0.5,4.6,5.1,4.1,1.2,0.5,1.2,2.9,11.7
"275","Tim Frazier",72,170,208,-6.00893412805801,1.03036867931095,-4.97856544874706,"PG",31,"TOT",12,3,208,2.4,7.8,0.311,1,2.9,0.353,1.4,0.286,0.9,1.6,0.556,0.9,2.4,3.3,5.9,0.5,0.2,2.6,4.7,6.8
"276","Trae Young",73,164,2680,7.40646123486311,-3.14635543260973,4.26010580225338,"PG",23,"ATL",76,76,2652,9.7,21,0.46,3.2,8.3,0.382,6.5,0.512,6.8,7.5,0.904,0.7,3.2,3.9,10,1,0.1,4.1,1.7,29.3
"277","Trayvon Palmer",78,200,17,-7.66266408128425,-32.1340907998515,-39.7967548811357,"SG",27,"DET",1,0,17,0,2.1,0,0,0,NA,0,0,0,0,NA,0,4.2,4.2,0,0,0,2.1,4.2,0
"278","Tre Jones",73,185,1148,0.311856127819462,1.72093555043227,2.03279167825173,"PG",22,"SAS",69,11,1148,5.2,10.6,0.49,0.3,1.6,0.196,4.9,0.542,2.2,2.9,0.78,0.9,4,4.9,7.3,1.3,0.2,1.4,2.4,13
"279","Tre Mann",75,178,1367,-2.22438484884095,-1.28867834037063,-3.51306318921158,"PG",20,"OKC",60,26,1367,6.1,15.5,0.393,2.6,7.2,0.36,3.5,0.421,1.7,2.2,0.793,0.7,3.8,4.5,2.4,1.2,0.3,1.9,2.7,16.5
"280","Tremont Waters",70,175,50,-6.53177219452566,-6.49548549218732,-13.027257686713,"PG",24,"TOT",3,0,50,2.9,10.1,0.286,1.4,6.5,0.222,1.4,0.4,0,0,NA,0,2.9,2.9,5,3.6,0,2.9,2.9,7.2
"281","Trendon Watford",80,237,869,-2.73200609414157,-4.59773104186574,-7.32973713600731,"SF",21,"POR",48,10,869,5.9,11.1,0.532,0.4,1.6,0.237,5.5,0.581,2.9,3.9,0.755,2.4,5.9,8.2,3.4,1,1.2,1.8,4.8,15.1
"282","Trevelin Queen",78,190,74,2.37677748995832,-1.10142170647222,1.2753557834861,"SG",24,"HOU",10,0,74,7.3,16.1,0.455,4.4,11.7,0.375,2.9,0.667,1.9,1.9,1,3.4,4.4,7.8,1.9,2.4,0.5,3.4,2.9,20.9
"283","Trevor Ariza",80,215,462,-4.00972035818978,-0.448039170604661,-4.45775952879444,"SF",36,"LAL",24,11,462,2.6,7.7,0.333,1.6,5.8,0.27,1,0.52,0.8,1.4,0.556,0.8,5.6,6.4,2.1,1,0.5,0.9,1.6,7.5
"284","Trey Lyles",81,234,1537,-0.464665809175276,-1.71656644332468,-2.18123225249995,"PF",26,"TOT",75,23,1537,6.1,13.2,0.466,1.6,4.9,0.321,4.6,0.552,4.6,5.7,0.802,2.1,6.8,8.9,2.1,0.7,0.7,1.7,2.9,18.4
"285","Tristan Thompson",81,254,904,-0.766327969505558,-0.857501693172539,-1.6238296626781,"PF",30,"TOT",57,6,897,5.7,10.7,0.528,0,0.1,0.333,5.6,0.53,2.4,4.7,0.526,4.8,6.7,11.6,1.4,0.9,0.8,1.8,3.9,13.8
"286","Ty Jerome",77,195,801,-0.959905998264893,0.403929741438869,-0.555976256826024,"SG",24,"OKC",48,4,801,5.6,14.7,0.378,2.4,8.4,0.29,3.1,0.493,1.7,2.1,0.809,0.9,2.7,3.5,4.9,1.3,0.2,1.7,3.3,15.3
"287","Tyler Johnson",75,186,91,-3.36434981330572,0.514257086870972,-2.85009272643475,"PG",29,"TOT",6,0,91,2.4,7.9,0.3,2,5.1,0.385,0.4,0.143,0,0,NA,1.2,3.6,4.7,2.8,1.2,1.2,0.8,2.8,6.7
"288","Tyrell Terry",74,160,3,7.4788069850116,-23.1577411731552,-15.6789341881436,"PG",21,"MEM",2,0,3,12,12,1,0,0,NA,12,1,0,0,NA,0,0,0,0,0,0,0,12,24
"289","Tyrese Maxey",74,200,2729,1.75597123215825,-1.46204886760984,0.293922364548409,"PG",21,"PHI",75,74,2650,6.6,13.5,0.485,1.8,4.2,0.427,4.8,0.512,2.9,3.3,0.866,0.4,2.9,3.3,4.4,0.7,0.4,1.2,2.1,17.8
"290","Tyrone Wallace",77,198,75,-5.87090376113587,-1.5363470728418,-7.40725083397767,"SG",27,"NOP",6,0,75,3.4,9.6,0.35,1,3.8,0.25,2.4,0.417,0.5,2.4,0.2,0,3.8,3.8,0.5,1.4,0.5,1,3.4,8.2
"291","Tyus Jones",72,196,1565,1.54295881440275,-0.37751488235123,1.16544393205151,"PG",25,"MEM",73,23,1549,5.8,12.8,0.451,1.9,4.8,0.39,3.9,0.487,1.3,1.5,0.818,0.4,3.7,4.1,7.5,1.5,0,1.1,0.7,14.7
"292","Udoka Azubuike",84,270,195,-4.90435554431516,3.19704919224425,-1.7073063520709,"C",22,"UTA",17,6,195,6.8,9,0.755,0,0,NA,6.8,0.755,1.1,2,0.545,3.3,9.8,13.1,0,0.2,2,2.2,4.6,14.8
"293","Usman Garuba",80,229,239,-1.29659930774515,-1.0297708098407,-2.32637011758585,"PF",19,"HOU",24,2,239,2.9,6.6,0.432,0.8,3,0.25,2.1,0.583,0.8,1.1,0.714,3.2,9.3,12.5,2.6,1.5,1.7,0.9,4.2,7.2
"294","Victor Oladipo",76,213,173,0.0569019010273873,1.38070141558463,1.43760331661202,"SG",29,"MIA",8,1,173,7.3,15.2,0.479,3.1,7.5,0.417,4.2,0.541,2.9,4,0.737,0.6,4.2,4.8,5.8,1,0.2,3.3,2.7,20.6
"295","Vit Krejci",80,195,690,-2.92851035658085,-2.96251905843732,-5.89102941501817,"SG",21,"OKC",30,8,690,3.5,8.7,0.407,1.7,5.1,0.327,1.9,0.522,1,1.1,0.864,0.9,4.3,5.3,3,1,0.4,1.5,3.4,9.8
"296","Wayne Selden",76,232,19,-7.78679994173063,-8.02800256946051,-15.8148025111911,"SG",27,"NYK",3,0,19,1.9,7.6,0.25,1.9,3.8,0.5,0,0,3.8,7.6,0.5,0,1.9,1.9,1.9,0,0,0,1.9,9.5
"297","Wenyen Gabriel",81,205,358,0.97091644362883,-2.84887230330601,-1.87795585967718,"PF",24,"TOT",26,5,358,5.4,11.1,0.491,0.8,2.8,0.286,4.6,0.561,2.5,4.2,0.595,3.9,5.8,9.8,1.4,0.5,1.1,1.6,6.8,14.2
"298","Wes Iwundu",78,195,82,-2.05318142415549,-5.51688527709668,-7.57006670125217,"SF",27,"ATL",3,1,82,3.5,7.9,0.444,1.3,2.2,0.6,2.2,0.385,1.3,1.8,0.75,1.3,4.4,5.7,0,0.4,0,0.4,3.5,9.7
"299","Wesley Matthews",76,220,1029,-1.51287759676634,2.9505903047417,1.43771270797536,"SG",35,"MIL",49,14,1002,3.1,7.9,0.395,1.9,5.6,0.338,1.2,0.54,0.8,1,0.786,1.1,2.2,3.3,1.3,0.8,0.3,0.6,3.1,8.9
